subset,cluster,rule_index,rule
KModes — Full Dataset,0,1,jba <= 0.5
KModes — Full Dataset,0,2,jba <= 2.5 & plarea <= 0.5
KModes — Full Dataset,0,3,gsm > 1.5
KModes — Full Dataset,0,4,jba <= 2.5 & plarea > 1.5
KModes — Full Dataset,0,5,ctiastr <= 0.5 & plarea <= 0.5
KModes — Full Dataset,1,1,jba > 2.5
KModes — Full Dataset,1,2,gsm <= 1.5 & jba <= 2.5 & jba > 0.5 & plarea <= 1.5 & plarea > 0.5
KModes — Full Dataset,1,3,gsm <= 0.5 & plarea > 0.5
