Cluster,STN,GSMN,PLAREAN,DWAN,CTIASTRN,JBAN,age
0,77.57,40.69,41.92,0.64,0.14,2.77,69.91
1,79.6,5.76,64.15,0.36,0.17,27.81,69.96
