Cluster,STN,GSMN,PLAREAN,DWAN,CTIASTRN,JBAN,age
0,81.67,28.29,58.87,0.91,0.33,6.96,69.33
1,80.8,9.27,73.26,0.68,0.29,19.75,70.43
